Frignano comune,Frignano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Caserta
Amministrazione,Amministrazione
Sindaco,Lucio Santarpia (Lista civica Radici e Futuro Frignano) dal 5-10-2021
Territorio,Territorio
Coordinate,40°59′35.75″N 14°10′40.31″E
Altitudine,30 m s.l.m.
Superficie,"9,86 km²"
Abitanti,8 966[1] (30-11-2025)
Densità,"909,33 ab./km²"
Comuni confinanti,"Casaluce, San Marcellino, San Tammaro, Villa di Briano, Aversa"
Altre informazioni,Altre informazioni
Cod. postale,81030
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,061037
Cod. catastale,D799
Targa,CE
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 101 GG[3]"
Nome abitanti,frignanesi
Patrono,santi Nazario e Celso e Santa Maria dell'Arco
Giorno festivo,28 luglio-12 Settembre
Cartografia,Cartografia
Frignano,Frignano
Frignano – MappaPosizione del comune di Frignano nella provincia di Caserta,Frignano – MappaPosizione del comune di Frignano nella provincia di Caserta
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
