Agugliano comune,Agugliano comune.1
,
Agugliano – Veduta,Agugliano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Paolo Perucci (lista civica) dal 10-06-2024
Territorio,Territorio
Coordinate,43°32′36.38″N 13°23′09.62″E
Altitudine,203 m s.l.m.
Superficie,"21,89 km²"
Abitanti,4 634[1] (30-11-2025)
Densità,"211,69 ab./km²"
Frazioni,"Castel d'Emilio, il Molino, la Chiusa, Borgo Ruffini"
Comuni confinanti,"Ancona, Camerata Picena, Jesi, Polverigi"
Altre informazioni,Altre informazioni
Cod. postale,60020
Prefisso,071
Fuso orario,UTC+1
Codice ISTAT,042001
Cod. catastale,A092
Targa,AN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 064 GG[3]"
Nome abitanti,aguglianesi
Patrono,sant'Anastasio
Giorno festivo,22 gennaio
Cartografia,Cartografia
Agugliano,Agugliano
Agugliano – MappaPosizione del comune di Agugliano nella provincia di Ancona,Agugliano – MappaPosizione del comune di Agugliano nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
