Camerata Picena comune,Camerata Picena comune.1
,
"Camerata Picena – VedutaPiazza Vittorio Veneto, a forma circolare, con la chiesa parrocchiale della Natività della Beata Vergine Maria.","Camerata Picena – VedutaPiazza Vittorio Veneto, a forma circolare, con la chiesa parrocchiale della Natività della Beata Vergine Maria."
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Davide Fiorini (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°34′41.95″N 13°21′09.94″E
Altitudine,125 m s.l.m.
Superficie,"11,89 km²"
Abitanti,2 483[1] (30-11-2025)
Densità,"208,83 ab./km²"
Frazioni,"Cassero, Montanina, Piane"
Comuni confinanti,"Agugliano, Ancona, Chiaravalle, Falconara Marittima, Jesi"
Altre informazioni,Altre informazioni
Cod. postale,60020
Prefisso,071
Fuso orario,UTC+1
Codice ISTAT,042007
Cod. catastale,B470
Targa,AN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 882 GG[3]"
Nome abitanti,cameratesi
Patrono,santa Caterina d'Alessandria
Giorno festivo,25 novembre
Cartografia,Cartografia
Camerata Picena,Camerata Picena
Camerata Picena – MappaPosizione del comune di Camerata Picena nella provincia di Ancona,Camerata Picena – MappaPosizione del comune di Camerata Picena nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
