Serra San Quirico comune,Serra San Quirico comune.1
,
Serra San Quirico – VedutaVeduta del centro storico.,Serra San Quirico – VedutaVeduta del centro storico.
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,"Debora Pellacchia (Lista civica ""Rinascita"") dal 10-6-2024"
Data di istituzione,XIII secolo
Territorio,Territorio
Coordinate,43°26′51.54″N 13°00′54.76″E
Altitudine,300 m s.l.m.
Superficie,"49,33 km²"
Abitanti,2 473[1] (30-11-2025)
Densità,"50,13 ab./km²"
Frazioni,"Sasso, Domo, Castellaro."
Comuni confinanti,"Apiro (MC), Arcevia, Cupramontana, Fabriano, Genga, Mergo, Poggio San Vicino (MC)."
Altre informazioni,Altre informazioni
Cod. postale,60048
Prefisso,0731
Fuso orario,UTC+1
Codice ISTAT,042047
Cod. catastale,I653
Targa,AN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 040 GG[3]"
Nome abitanti,serrani
Patrono,santi Quirico e Giulitta
Giorno festivo,15 luglio
Cartografia,Cartografia
Serra San Quirico,Serra San Quirico
Serra San Quirico – MappaPosizione del comune di Serra San Quirico nella provincia di Ancona.,Serra San Quirico – MappaPosizione del comune di Serra San Quirico nella provincia di Ancona.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
