Loreto comune,Loreto comune.1
,
Loreto – Veduta,Loreto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Moreno Pieroni (lista civica) dal 22-9-2020
Territorio,Territorio
Coordinate,43°26′25.08″N 13°36′26.75″E
Altitudine,127 m s.l.m.
Superficie,"17,9 km²"
Abitanti,13 085[1] (30-11-2025)
Densità,"731,01 ab./km²"
Frazioni,"Villa Musone, Villa Costantina, Stazione, Villa Berghigna, Costabianca, Grotte[2]"
Comuni confinanti,"Castelfidardo, Porto Recanati (MC), Recanati (MC)"
Altre informazioni,Altre informazioni
Cod. postale,60025
Prefisso,071
Fuso orario,UTC+1
Codice ISTAT,042022
Cod. catastale,E690
Targa,AN
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 897 GG[4]"
Nome abitanti,loretani o lauretani
Patrono,Natività della Beata Vergine Maria
Giorno festivo,8 settembre
Cartografia,Cartografia
Loreto,Loreto
Loreto – MappaPosizione del comune di Loreto nella provincia di Ancona,Loreto – MappaPosizione del comune di Loreto nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
