Ostra Vetere comune,Ostra Vetere comune.1
,
Ostra Vetere – Veduta,Ostra Vetere – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Massimo Corinaldesi (lista civica) dal 15-5-2023
Territorio,Territorio
Coordinate,43°36′13.36″N 13°03′26.15″E
Altitudine,250 m s.l.m.
Superficie,"30,02 km²"
Abitanti,3 039[1] (30-11-2025)
Densità,"101,23 ab./km²"
Frazioni,"Acqualagna, Burello, Boscareto, Dometto, Guinzano, Molino, Pescara, Pezzolo, Pongelli, San Vito"
Comuni confinanti,"Barbara, Castelleone di Suasa, Corinaldo, Montecarotto, Ostra, Serra de' Conti"
Altre informazioni,Altre informazioni
Cod. postale,60010
Prefisso,071
Fuso orario,UTC+1
Codice ISTAT,042036
Cod. catastale,F581
Targa,AN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 989 GG[3]"
Nome abitanti,ostraveterani
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Ostra Vetere,Ostra Vetere
Ostra Vetere – MappaPosizione del comune di Ostra Vetere nella provincia di Ancona,Ostra Vetere – MappaPosizione del comune di Ostra Vetere nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
