Jesi comune,Jesi comune.1
,
Jesi – Veduta,Jesi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Lorenzo Fiordelmondo (PD) dal 27-6-2022
Territorio,Territorio
Coordinate,43°31′25.59″N 13°14′46.31″E
Altitudine,100 m s.l.m.
Superficie,"108,9 km²"
Abitanti,39 441[1] (30-11-2025)
Densità,"362,18 ab./km²"
Frazioni,"Castelrosino, Mazzangrugno, Pantiere di Jesi, Piandelmedico, Santa Lucia, Tabano[2]"
Comuni confinanti,"Agugliano, Camerata Picena, Castelbellino, Chiaravalle, Cingoli (MC), Filottrano, Maiolati Spontini, Monsano, Monte Roberto, Monte San Vito, Polverigi, San Marcello, San Paolo di Jesi, Santa Maria Nuova, Staffolo"
Altre informazioni,Altre informazioni
Cod. postale,60035
Prefisso,0731
Fuso orario,UTC+1
Codice ISTAT,042021
Cod. catastale,E388
Targa,AN
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 899 GG[4]"
Nome abitanti,jesini
Patrono,san Settimio
Giorno festivo,22 settembre
Soprannome,Milano delle Marche[5]
Cartografia,Cartografia
Jesi,Jesi
Jesi – MappaPosizione del comune di Jesi nella provincia di Ancona,Jesi – MappaPosizione del comune di Jesi nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
