Osimo comune,Osimo comune.1
,
Osimo – Veduta,Osimo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Michela Glorio (indipendente di centro-sinistra) dal 26-5-2025
Territorio,Territorio
Coordinate,43°29′09.89″N 13°28′55.56″E
Altitudine,265 m s.l.m.
Superficie,"106,74 km²"
Abitanti,34 772[1] (30-11-2025)
Densità,"325,76 ab./km²"
Frazioni,"Abbadia, Campocavallo, Casenuove, Casette di Rinaldo, Cucchiarello, Fornace Morando, Osimo Stazione, Padiglione, Passatempo, San Biagio, Montegallo, San Paterniano, La Villa, San Sabino, Santo Stefano, San Valentino"
Comuni confinanti,"Ancona, Camerano, Castelfidardo, Filottrano, Montefano (MC), Offagna, Polverigi, Recanati (MC), Santa Maria Nuova"
Altre informazioni,Altre informazioni
Cod. postale,60027
Prefisso,071
Fuso orario,UTC+1
Codice ISTAT,042034
Cod. catastale,G157
Targa,AN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 073 GG[3]"
Nome abitanti,osimani
Patrono,fino al 1967 san Vittore e santa Corona; dal 1967 san Giuseppe da Copertino
Giorno festivo,18 settembre
Cartografia,Cartografia
Osimo,Osimo
Osimo – MappaPosizione del comune di Osimo nella provincia di Ancona,Osimo – MappaPosizione del comune di Osimo nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
