Santa Maria Nuova comune,Santa Maria Nuova comune.1
,
Santa Maria Nuova – Veduta,Santa Maria Nuova – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Alfredo Cesarini (lista civica) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,43°29′45.46″N 13°18′38.58″E
Altitudine,249 m s.l.m.
Superficie,"18,29 km²"
Abitanti,3 897[1] (30-11-2025)
Densità,"213,07 ab./km²"
Frazioni,"Collina, Monti, Pradellona"
Comuni confinanti,"Filottrano, Jesi, Osimo, Polverigi"
Altre informazioni,Altre informazioni
Cod. postale,60030
Prefisso,0731
Fuso orario,UTC+1
Codice ISTAT,042043
Cod. catastale,I251
Targa,AN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 988 GG[3]"
Nome abitanti,santamarianovesi
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Santa Maria Nuova,Santa Maria Nuova
Santa Maria Nuova – MappaPosizione del comune di Santa Maria Nuova nella provincia di Ancona,Santa Maria Nuova – MappaPosizione del comune di Santa Maria Nuova nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
