Castelplanio comune,Castelplanio comune.1
,
Castelplanio – Veduta,Castelplanio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Giuseppe Montesi (lista civica) dal 10-06-2024
Territorio,Territorio
Coordinate,43°29′40.13″N 13°04′51.38″E
Altitudine,305 m s.l.m.
Superficie,"15,32 km²"
Abitanti,3 611[1] (30-11-2025)
Densità,"235,7 ab./km²"
Frazioni,"Borgo Loreto, Macine, Piagge, Pozzetto"
Comuni confinanti,"Belvedere Ostrense, Maiolati Spontini, Poggio San Marcello, Rosora"
Altre informazioni,Altre informazioni
Cod. postale,60031
Prefisso,0731
Fuso orario,UTC+1
Codice ISTAT,042012
Cod. catastale,C248
Targa,AN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 113 GG[3]"
Nome abitanti,castelplanesi
Patrono,san Giuseppe
Giorno festivo,24 aprile
Cartografia,Cartografia
Castelplanio,Castelplanio
Castelplanio – MappaPosizione del comune di Castelplanio nella provincia di Ancona,Castelplanio – MappaPosizione del comune di Castelplanio nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
