Castelbellino comune,Castelbellino comune.1
,
Castelbellino – Veduta,Castelbellino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Andrea Cesaroni (lista civica) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°29′16″N 13°08′45″E
Altitudine,261 m s.l.m.
Superficie,"6,05 km²"
Abitanti,4 907[1] (30-11-2025)
Densità,"811,07 ab./km²"
Frazioni,"Pantiere, Pianello, Scorcelletti, Stazione"
Comuni confinanti,"Jesi, Maiolati Spontini, Monte Roberto"
Altre informazioni,Altre informazioni
Cod. postale,60030
Prefisso,0731
Fuso orario,UTC+1
Codice ISTAT,042008
Cod. catastale,C060
Targa,AN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 068 GG[3]"
Nome abitanti,castelbellinesi
Patrono,san Marco Evangelista
Giorno festivo,25 aprile
Cartografia,Cartografia
Castelbellino,Castelbellino
Castelbellino – MappaPosizione del comune di Castelbellino nella provincia di Ancona,Castelbellino – MappaPosizione del comune di Castelbellino nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
