Fabriano comune,Fabriano comune.1
,
Fabriano – VedutaPanorama di Fabriano dalle colline circostanti,Fabriano – VedutaPanorama di Fabriano dalle colline circostanti
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Daniela Ghergo (coalizione di centro-sinistra) dal 14-6-2022
Territorio,Territorio
Coordinate,43°20′18.82″N 12°54′30.67″E
Altitudine,325 m s.l.m.
Superficie,"272,08 km²"
Abitanti,28 509[1] (30-11-2025)
Densità,"104,78 ab./km²"
Frazioni,vedi elenco
Comuni confinanti,"Cerreto d'Esi, Costacciaro (PG), Esanatoglia (MC), Fiuminata (MC), Fossato di Vico (PG), Genga, Gualdo Tadino (PG), Matelica (MC), Nocera Umbra (PG), Poggio San Vicino (MC), Sassoferrato, Serra San Quirico, Sigillo (PG)"
Altre informazioni,Altre informazioni
Cod. postale,60044
Prefisso,0732
Fuso orario,UTC+1
Codice ISTAT,042017
Cod. catastale,D451
Targa,AN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 198 GG[3]"
Nome abitanti,fabrianesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Soprannome,Città della Carta e della Filigrana
Cartografia,Cartografia
Fabriano,Fabriano
Fabriano – MappaPosizione del comune di Fabriano nella provincia di Ancona,Fabriano – MappaPosizione del comune di Fabriano nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
