Montemarciano comune,Montemarciano comune.1
,
Montemarciano – VedutaChiesa di San Pietro Apostolo,Montemarciano – VedutaChiesa di San Pietro Apostolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Maurizio Grilli (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,43°38′23.74″N 13°18′37.37″E
Altitudine,92 m s.l.m.
Superficie,"22,31 km²"
Abitanti,9 823[1] (30-11-2025)
Densità,"440,3 ab./km²"
Frazioni,"Alberici, Cassiano, Forcella, Gabella, Gelso, Grugnaletto, Marcianella, Marina"
Comuni confinanti,"Chiaravalle, Falconara Marittima, Monte San Vito, Senigallia"
Altre informazioni,Altre informazioni
Cod. postale,60018
Prefisso,071
Fuso orario,UTC+1
Codice ISTAT,042027
Cod. catastale,F560
Targa,AN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 826 GG[3]"
Nome abitanti,montemarcianesi
Patrono,san Macario
Giorno festivo,2 maggio
Cartografia,Cartografia
Montemarciano,Montemarciano
Montemarciano – MappaPosizione del comune di Montemarciano nella provincia di Ancona,Montemarciano – MappaPosizione del comune di Montemarciano nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
