Maiolati Spontini comune,Maiolati Spontini comune.1
,
Maiolati Spontini – Veduta,Maiolati Spontini – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Sebastiano Mazzarini (lista civica) dal 23-10-2025
Territorio,Territorio
Coordinate,43°28′37.83″N 13°07′09.08″E
Altitudine,405 m s.l.m.
Superficie,"21,49 km²"
Abitanti,5 931[1] (30-11-2025)
Densità,"275,99 ab./km²"
Frazioni,"Moie, Monteschiavo-Scorcelletti, Scisciano[2]"
Comuni confinanti,"Belvedere Ostrense, Castelbellino, Castelplanio, Cupramontana, Jesi, Monte Roberto, Rosora, San Marcello"
Altre informazioni,Altre informazioni
Cod. postale,60030
Prefisso,0731
Fuso orario,UTC+1
Codice ISTAT,042023
Cod. catastale,E837
Targa,AN
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 149 GG[4]"
Nome abitanti,maiolatesi
Patrono,santo Stefano
Giorno festivo,26 dicembre
Cartografia,Cartografia
Maiolati Spontini,Maiolati Spontini
Maiolati Spontini – MappaPosizione del comune di Maiolati Spontini nella provincia di Ancona,Maiolati Spontini – MappaPosizione del comune di Maiolati Spontini nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
