Rosora comune,Rosora comune.1
,
Rosora – Veduta,Rosora – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Fausto Sassi (lista civica) dal 12-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,43°28′58.29″N 13°04′09.48″E
Altitudine,380 m s.l.m.
Superficie,"9,41 km²"
Abitanti,1 783[1] (30-11-2025)
Densità,"189,48 ab./km²"
Frazioni,Angeli di Rosora
Comuni confinanti,"Arcevia, Castelplanio, Cupramontana, Maiolati Spontini, Mergo, Montecarotto, Poggio San Marcello"
Altre informazioni,Altre informazioni
Cod. postale,60030
Prefisso,0731
Fuso orario,UTC+1
Codice ISTAT,042040
Cod. catastale,H575
Targa,AN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 123 GG[3]"
Nome abitanti,rosorani
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Rosora,Rosora
Rosora – MappaPosizione del comune di Rosora nella provincia di Ancona,Rosora – MappaPosizione del comune di Rosora nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
