Ostra comune,Ostra comune.1
,
Ostra – Veduta,Ostra – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Federica Fanesi (lista civica di centro-destra) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°36′45.54″N 13°09′29.63″E
Altitudine,187 m s.l.m.
Superficie,"47,25 km²"
Abitanti,6 221[1] (30-11-2025)
Densità,"131,66 ab./km²"
Frazioni,"Casine, Pianello, Vaccarile"
Comuni confinanti,"Belvedere Ostrense, Corinaldo, Montecarotto, Ostra Vetere, Senigallia, Trecastelli"
Altre informazioni,Altre informazioni
Cod. postale,60010
Prefisso,071
Fuso orario,UTC+1
Codice ISTAT,042035
Cod. catastale,F401
Targa,AN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 993 GG[3]"
Nome abitanti,ostrensi (in origine: ostrani)
Patrono,san Gaudenzio di Rimini
Giorno festivo,14 ottobre
Cartografia,Cartografia
Ostra,Ostra
Ostra – MappaPosizione del comune di Ostra nella provincia di Ancona,Ostra – MappaPosizione del comune di Ostra nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
