Provincia di Ancona provincia,Provincia di Ancona provincia.1
,
"Provincia di Ancona – VedutaPalazzo di Vetro, la vecchia sede dell'amministrazione provinciale in attesa di ristrutturazione, 2007[1]","Provincia di Ancona – VedutaPalazzo di Vetro, la vecchia sede dell'amministrazione provinciale in attesa di ristrutturazione, 2007[1]"
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Amministrazione,Amministrazione
Capoluogo,Ancona
Presidente,Daniele Carnevali (PSI) dal 20-12-2021
Data di istituzione,22 dicembre 1860
Territorio,Territorio
Coordinate del capoluogo,43°37′N 13°31′E
Superficie,"1 963,22 km²"
Abitanti,461 709[2] (31-10-2025)
Densità,"235,18 ab./km²"
Comuni,47 comuni
Province confinanti,"Pesaro e Urbino, Macerata, Perugia"
Altre informazioni,Altre informazioni
Cod. postale,60121 - 60131 (Ancona) 60010 - 60048 (altri comuni)
Prefisso,"071, 0731, 0732"
Fuso orario,UTC+1
ISO 3166-2,IT-AN
Codice ISTAT,042
Targa,AN
PIL,"(nominale) 14 665,39 mln €[3](2022)"
PIL procapite,(nominale) 31 327 €[3](2022)
Cartografia,Cartografia
Provincia di Ancona – Localizzazione,Provincia di Ancona – Localizzazione
Provincia di Ancona – MappaPosizione della provincia di Ancona all'interno delle Marche,Provincia di Ancona – MappaPosizione della provincia di Ancona all'interno delle Marche
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
