Corinaldo comune,Corinaldo comune.1
,
Corinaldo – Veduta,Corinaldo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Gianni Aloisi[1] (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,43°38′56.04″N 13°02′52.44″E
Altitudine,203 m s.l.m.
Superficie,"49,28 km²"
Abitanti,4 735[2] (30-11-2025)
Densità,"96,08 ab./km²"
Frazioni,"Madonna del Piano, Nevola, San Bartolo, San Domenico, Sant'Apollonia, Santa Maria, Sant'Isidoro, San Vincenzo, Ville"
Comuni confinanti,"Castelleone di Suasa, Mondavio (PU), Monte Porzio (PU), Ostra, Ostra Vetere, San Lorenzo in Campo (PU), Trecastelli"
Altre informazioni,Altre informazioni
Cod. postale,60013
Prefisso,071
Fuso orario,UTC+1
Codice ISTAT,042015
Cod. catastale,D007
Targa,AN
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 903 GG[4]"
Nome abitanti,corinaldesi
Patrono,sant'Anna
Giorno festivo,26 luglio
Motto,"Cineribus orta combusta revixi ""Sorta dalle ceneri, bruciata, tornai a vivere""[5]"
Cartografia,Cartografia
Corinaldo,Corinaldo
Corinaldo – MappaPosizione del comune di Corinaldo nella provincia di Ancona,Corinaldo – MappaPosizione del comune di Corinaldo nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
