Mergo comune,Mergo comune.1
,
Mergo – Veduta,Mergo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Luca Possanzini (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°28′19.56″N 13°02′13.09″E
Altitudine,368 m s.l.m.
Superficie,"7,28 km²"
Abitanti,968[1] (30-11-2025)
Densità,"132,97 ab./km²"
Frazioni,Angeli di Mergo
Comuni confinanti,"Arcevia, Cupramontana, Rosora, Serra San Quirico"
Altre informazioni,Altre informazioni
Cod. postale,60030
Prefisso,0731
Fuso orario,UTC+1
Codice ISTAT,042024
Cod. catastale,F145
Targa,AN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 141 GG[3]"
Nome abitanti,mergani
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Mergo,Mergo
Mergo – MappaPosizione del comune di Mergo nella provincia di Ancona,Mergo – MappaPosizione del comune di Mergo nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
