Numana comune,Numana comune.1
,
Numana – VedutaPanorama,Numana – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Gianluigi Tombolini[1] (lista civica C'è sempre più futuro) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°30′48.96″N 13°37′17.65″E
Altitudine,96 m s.l.m.
Superficie,"10,94 km²"
Abitanti,3 743[2] (30-11-2025)
Densità,"342,14 ab./km²"
Frazioni,"Marcelli, Svarchi, Taunus"
Comuni confinanti,"Castelfidardo, Porto Recanati (MC), Sirolo"
Altre informazioni,Altre informazioni
Cod. postale,60026
Prefisso,071
Fuso orario,UTC+1
Codice ISTAT,042032
Cod. catastale,F978
Targa,AN
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 789 GG[4]"
Nome abitanti,numanesi
Patrono,Cristo Re e san Giovanni Battista
Giorno festivo,3 maggio
Cartografia,Cartografia
Numana,Numana
Numana – MappaPosizione del comune di Numana nella provincia di Ancona,Numana – MappaPosizione del comune di Numana nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
