Genga comune,Genga comune.1
,
Genga – VedutaVeduta,Genga – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Marco Filipponi (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°25′49.73″N 12°56′08.02″E
Altitudine,320 m s.l.m.
Superficie,"73,16 km²"
Abitanti,1 617[1] (30-11-2025)
Densità,"22,1 ab./km²"
Frazioni,"Avenale, Bivio Filipponi, Camponocecchio, Capolavilla, Casamontanara, Catozzi, Cerqueto, Colcello, Collalto, Colleponi, Falcioni, Foce, Fossi, Gattuccio, Genga Stazione, Isola Centipera, Mariani, Meleto, Mogiano, Monticelli, Osteria di Colleponi, Palombare, Palombare di ferro, Pianello, Pierosara, Pontebovesecco, Pontechiaradovo, Rocchetta, Rosenga,San Cristoforo, San Donnino, San Fortunato, San Vittore, Serra, Serrabernacchia, Trapozzo, Trinquelli, Spineto, Vallemania, Valmontagnana, Vallerapara, Valtreara, Villabella"
Comuni confinanti,"Arcevia, Fabriano, Sassoferrato, Serra San Quirico"
Altre informazioni,Altre informazioni
Cod. postale,60040
Prefisso,0732
Fuso orario,UTC+1
Codice ISTAT,042020
Cod. catastale,D965
Targa,AN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 195 GG[3]"
Nome abitanti,gengarini
Patrono,san Clemente
Giorno festivo,23 novembre
Cartografia,Cartografia
Genga,Genga
Genga – MappaPosizione del comune di Genga nella provincia di Ancona,Genga – MappaPosizione del comune di Genga nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
