Filottrano comune,Filottrano comune.1
,
Filottrano – Veduta,Filottrano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Luca Paolorossi (lista civica Noi per Filottrano) dal 10-6-2024
Territorio,Territorio
Coordinate,43°26′03.91″N 13°21′00.9″E
Altitudine,270 m s.l.m.
Superficie,"71,2 km²"
Abitanti,8 849[1] (30-11-2025)
Densità,"124,28 ab./km²"
Frazioni,"Montepulciano, Cantalupo, Imbrecciata, Montoro, San Biagio, Sant'Ignazio, Tornazzano, Sant'Anna, Ponte Musone"
Comuni confinanti,"Appignano (MC), Cingoli (MC), Jesi, Montefano (MC), Osimo, Santa Maria Nuova"
Altre informazioni,Altre informazioni
Cod. postale,60024
Prefisso,071
Fuso orario,UTC+1
Codice ISTAT,042019
Cod. catastale,D597
Targa,AN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 009 GG[3]"
Nome abitanti,filottranesi
Patrono,san Michele Arcangelo
Giorno festivo,8 maggio
Cartografia,Cartografia
Filottrano,Filottrano
Filottrano – MappaPosizione del comune di Filottrano nella provincia di Ancona,Filottrano – MappaPosizione del comune di Filottrano nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
