Castelfidardo comune,Castelfidardo comune.1
,
Castelfidardo – VedutaPiazza della Repubblica,Castelfidardo – VedutaPiazza della Repubblica
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Roberto Ascani (M5S) dal 19-6-2016 (2º mandato dal 18-10-2021)
Territorio,Territorio
Coordinate,43°27′51″N 13°32′46″E
Altitudine,199 m s.l.m.
Superficie,"33,39 km²"
Abitanti,18 349[1] (30-11-2025)
Densità,"549,54 ab./km²"
Frazioni,"Acquaviva, Campanari, Cerretano, Crocette, Figuretta, Fornaci, Monte Camillone, San Rocchetto, Sant'Agostino"
Comuni confinanti,"Camerano, Loreto, Numana, Osimo, Porto Recanati (MC), Recanati (MC), Sirolo"
Altre informazioni,Altre informazioni
Cod. postale,60022
Prefisso,071
Fuso orario,UTC+1
Codice ISTAT,042010
Cod. catastale,C100
Targa,AN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 881 GG[3]"
Nome abitanti,castelfidardensi/fidardensi o castellani
Patrono,santi Vittore e Corona
Giorno festivo,14 maggio
Cartografia,Cartografia
Castelfidardo,Castelfidardo
Castelfidardo – MappaPosizione del comune di Castelfidardo nella provincia di Ancona,Castelfidardo – MappaPosizione del comune di Castelfidardo nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
