Falconara Marittima comune,Falconara Marittima comune.1
,
Falconara Marittima – Veduta,Falconara Marittima – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Stefania Signorini (centro-destra) dal 24-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,43°37′46.56″N 13°23′48.48″E
Altitudine,5 m s.l.m.
Superficie,"25,82 km²"
Abitanti,26 037[1] (30-11-2025)
Densità,"1 008,4 ab./km²"
Frazioni,"Castelferretti, Falconara Alta, Case Unrra, Fiumesino, Palombina Vecchia, Rocca Priora, Villanova, Tesoro, Mezzacosta"
Comuni confinanti,"Ancona, Camerata Picena, Chiaravalle, Montemarciano"
Altre informazioni,Altre informazioni
Cod. postale,60015
Prefisso,071
Fuso orario,UTC+1
Codice ISTAT,042018
Cod. catastale,D472
Targa,AN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 888 GG[3]"
Nome abitanti,falconaresi
Patrono,Madonna del Rosario
Giorno festivo,8 maggio
Cartografia,Cartografia
Falconara Marittima,Falconara Marittima
Falconara Marittima – MappaPosizione del comune di Falconara Marittima nella provincia di Ancona,Falconara Marittima – MappaPosizione del comune di Falconara Marittima nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
