Polverigi comune,Polverigi comune.1
,
Polverigi – Veduta,Polverigi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Daniele Carnevali (lista civica Polverigi domani) dal 26-5-2014[1] (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°31′31.24″N 13°23′38.72″E
Altitudine,140 m s.l.m.
Superficie,"24,98 km²"
Abitanti,4 552[2] (30-11-2025)
Densità,"182,23 ab./km²"
Frazioni,Rustico
Comuni confinanti,"Agugliano, Ancona, Jesi, Offagna, Osimo, Santa Maria Nuova"
Altre informazioni,Altre informazioni
Cod. postale,60020
Prefisso,071
Fuso orario,UTC+1
Codice ISTAT,042038
Cod. catastale,G803
Targa,AN
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 876 GG[4]"
Nome abitanti,polverigiani
Patrono,sant'Antonino di Apamea
Giorno festivo,2 settembre
Cartografia,Cartografia
Polverigi,Polverigi
Polverigi – MappaPosizione del comune di Polverigi nella provincia di Ancona,Polverigi – MappaPosizione del comune di Polverigi nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
