Ancona comune,Ancona comune.1
,
Ancona – VedutaVeduta del porto e del centro città,Ancona – VedutaVeduta del porto e del centro città
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Daniele Silvetti (FI) dal 29-5-2023
Territorio,Territorio
Coordinate,43°37′N 13°31′E
Altitudine,16 m s.l.m.
Superficie,"124,84[1] km²"
Abitanti,100 069[2] (30-11-2025)
Densità,"801,58 ab./km²"
Frazioni,"Aspio, Candia, Casine di Paterno, Gallignano, Ghettarello, Massignano, Montacuto, Montesicuro, Paterno, Poggio di Ancona, Sappanico, Varano."
Comuni confinanti,"Agugliano, Camerano, Camerata Picena, Falconara Marittima, Offagna, Osimo, Polverigi, Sirolo"
Altre informazioni,Altre informazioni
Cod. postale,60121-60131
Prefisso,071
Fuso orario,UTC+1
Codice ISTAT,042002
Cod. catastale,A271
Targa,AN
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 688 GG[4]"
Nome abitanti,"anconetani, anconitani, dorici"
Patrono,Ciriaco di Gerusalemme
Giorno festivo,4 maggio
Soprannome,Città dorica[5]
Cartografia,Cartografia
Ancona,Ancona
Ancona – MappaPosizione del comune di Ancona nel territorio dell'omonima provincia,Ancona – MappaPosizione del comune di Ancona nel territorio dell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
