Castelleone di Suasa comune,Castelleone di Suasa comune.1
,
Castelleone di Suasa – VedutaPiazza Vittorio Emanuele II,Castelleone di Suasa – VedutaPiazza Vittorio Emanuele II
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Carlo Manfredi (lista civica) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,43°36′26.6″N 12°58′34.93″E
Altitudine,206 m s.l.m.
Superficie,"15,92 km²"
Abitanti,1 545[1] (30-11-2025)
Densità,"97,05 ab./km²"
Frazioni,"Bozzo, Casalta, Case Nuove, Farneto, Pian Volpello, Santa Lucia, Ville"
Comuni confinanti,"Arcevia, Barbara, Corinaldo, Ostra Vetere, San Lorenzo in Campo (PU)"
Altre informazioni,Altre informazioni
Cod. postale,60010
Prefisso,071
Fuso orario,UTC+1
Codice ISTAT,042011
Cod. catastale,C152
Targa,AN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 966 GG[3]"
Nome abitanti,castelleonesi
Patrono,Titolare: Pietro da Verona Compatrono: Francesco da Paola
Giorno festivo,29 aprile
Cartografia,Cartografia
Castelleone di Suasa,Castelleone di Suasa
Castelleone di Suasa – MappaPosizione del comune di Castelleone di Suasa nella provincia di Ancona,Castelleone di Suasa – MappaPosizione del comune di Castelleone di Suasa nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
