Sassoferrato comune,Sassoferrato comune.1
,
Sassoferrato – VedutaSanta Maria del Ponte del Piano (1969),Sassoferrato – VedutaSanta Maria del Ponte del Piano (1969)
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Maurizio Greci (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°25′38.89″N 12°51′23.47″E
Altitudine,386 m s.l.m.
Superficie,"137,23 km²"
Abitanti,6 788[1] (30-11-2025)
Densità,"49,46 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Arcevia, Fabriano, Genga, Serra Sant'Abbondio (PU), Pergola (PU), Costacciaro (PG), Scheggia e Pascelupo (PG)"
Altre informazioni,Altre informazioni
Cod. postale,60041
Prefisso,0732
Fuso orario,UTC+1
Codice ISTAT,042044
Cod. catastale,I461
Targa,AN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 226 GG[3]"
Nome abitanti,sassoferratesi
Patrono,beato Ugo degli Atti
Giorno festivo,26 luglio
Cartografia,Cartografia
Sassoferrato,Sassoferrato
Sassoferrato – MappaPosizione del comune di Sassoferrato nella provincia di Ancona,Sassoferrato – MappaPosizione del comune di Sassoferrato nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
