Senigallia comune,Senigallia comune.1
,
Senigallia – Veduta,Senigallia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Massimo Olivetti (centro-destra) dal 5-10-2020
Territorio,Territorio
Coordinate,43°42′47″N 13°13′06″E
Altitudine,5 m s.l.m.
Superficie,"117,77 km²"
Abitanti,43 810[1] (30-11-2025)
Densità,372 ab./km²
Frazioni,vedi elenco
Comuni confinanti,"Belvedere Ostrense, Mondolfo (PU), Monte San Vito, Montemarciano, Morro d'Alba, Ostra, Trecastelli"
Altre informazioni,Altre informazioni
Cod. postale,60019
Prefisso,071
Fuso orario,UTC+1
Codice ISTAT,042045
Cod. catastale,I608
Targa,AN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 773 GG[3]"
Nome abitanti,senigalliesi
Patrono,san Paolino di Nola
Giorno festivo,4 maggio
Cartografia,Cartografia
Senigallia,Senigallia
Senigallia – MappaPosizione del comune di Senigallia nella provincia di Ancona,Senigallia – MappaPosizione del comune di Senigallia nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
