Cupramontana comune,Cupramontana comune.1
,
Cupramontana – Veduta,Cupramontana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Enrico Giampieri (lista civica Progetto Cupra) dal 5-10-2021
Territorio,Territorio
Coordinate,43°26′45.53″N 13°07′02.53″E
Altitudine,505 m s.l.m.
Superficie,"27,4 km²"
Abitanti,4 336[1] (30-11-2025)
Densità,"158,25 ab./km²"
Frazioni,Poggio Cupro[2]
Comuni confinanti,"Apiro (MC), Maiolati Spontini, Mergo, Monte Roberto, Rosora, San Paolo di Jesi, Serra San Quirico, Staffolo"
Altre informazioni,Altre informazioni
Cod. postale,60034
Prefisso,0731
Fuso orario,UTC+1
Codice ISTAT,042016
Cod. catastale,D211
Targa,AN
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 252 GG[4]"
Nome abitanti,cuprensi
Patrono,sant'Eleuterio
Giorno festivo,26 maggio
Cartografia,Cartografia
Cupramontana,Cupramontana
Cupramontana – MappaPosizione del comune di Cupramontana nella provincia di Ancona,Cupramontana – MappaPosizione del comune di Cupramontana nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
