Morro d'Alba comune,Morro d'Alba comune.1
,
Morro d'Alba – Veduta,Morro d'Alba – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Enrico Ciarimboli (lista civica Morro d'Alba comune) dall'11-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,43°36′04.19″N 13°12′49.55″E
Altitudine,199 m s.l.m.
Superficie,"19,46 km²"
Abitanti,1 797[1] (30-11-2025)
Densità,"92,34 ab./km²"
Frazioni,"Santa Maria, Sant'Amico"
Comuni confinanti,"Belvedere Ostrense, Monte San Vito, San Marcello, Senigallia"
Altre informazioni,Altre informazioni
Cod. postale,60030
Prefisso,0731
Fuso orario,UTC+1
Codice ISTAT,042031
Cod. catastale,F745
Targa,AN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 936 GG[3]"
Nome abitanti,morresi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Morro d'Alba,Morro d'Alba
Morro d'Alba – MappaPosizione del comune di Morro d'Alba nella provincia di Ancona,Morro d'Alba – MappaPosizione del comune di Morro d'Alba nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
