Sirolo comune,Sirolo comune.1
,
Sirolo – VedutaPanorama,Sirolo – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Filippo Moschella (lista civica di centro-destra) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°31′33.67″N 13°36′57.67″E
Altitudine,125 m s.l.m.
Superficie,"16,68 km²"
Abitanti,4 090[1] (30-11-2025)
Densità,"245,2 ab./km²"
Frazioni,"Coppo, Fonte d'Olio, Madonnina, San Lorenzo"
Comuni confinanti,"Ancona, Camerano, Castelfidardo, Numana"
Altre informazioni,Altre informazioni
Cod. postale,60020
Prefisso,071
Fuso orario,UTC+1
Codice ISTAT,042048
Cod. catastale,I758
Targa,AN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 860 GG[3]"
Nome abitanti,sirolesi
Patrono,san Nicola di Bari
Giorno festivo,9 maggio
Cartografia,Cartografia
Sirolo,Sirolo
Sirolo – MappaPosizione del comune di Sirolo nella provincia di Ancona,Sirolo – MappaPosizione del comune di Sirolo nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
