Cerreto d'Esi comune,Cerreto d'Esi comune.1
,
Cerreto d'Esi – VedutaLa Porta Giustinianea,Cerreto d'Esi – VedutaLa Porta Giustinianea
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,David Grillini (lista civica) dal 22-9-2020
Territorio,Territorio
Coordinate,43°19′11.06″N 12°59′05.17″E
Altitudine,276 m s.l.m.
Superficie,"16,91 km²"
Abitanti,3 335[1] (30-11-2025)
Densità,"197,22 ab./km²"
Frazioni,"Cerquete, Incrocca"
Comuni confinanti,"Fabriano, Matelica (MC), Poggio San Vicino (MC)"
Altre informazioni,Altre informazioni
Cod. postale,60043
Prefisso,0732
Fuso orario,UTC+1
Codice ISTAT,042013
Cod. catastale,C524
Targa,AN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 148 GG[3]"
Nome abitanti,cerretesi
Patrono,santa Maria Assunta
Giorno festivo,martedì dopo Pasqua
Cartografia,Cartografia
Cerreto d'Esi,Cerreto d'Esi
Cerreto d'Esi – MappaPosizione del comune di Cerreto d'Esi nella provincia di Ancona,Cerreto d'Esi – MappaPosizione del comune di Cerreto d'Esi nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
