Belvedere Ostrense comune,Belvedere Ostrense comune.1
,
Belvedere Ostrense – VedutaVeduta panoramica,Belvedere Ostrense – VedutaVeduta panoramica
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Sara Ubertini Ceccacci (lista civica di centro-sinistra) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°34′49.76″N 13°09′59.58″E
Altitudine,251 m s.l.m.
Superficie,"29,45 km²"
Abitanti,2 070[1] (30-11-2025)
Densità,"70,29 ab./km²"
Frazioni,"Fornace, Madonna del Sole"
Comuni confinanti,"Castelplanio, Maiolati Spontini, Montecarotto, Morro d'Alba, Ostra, Poggio San Marcello, San Marcello, Senigallia"
Altre informazioni,Altre informazioni
Cod. postale,60030
Prefisso,0731
Fuso orario,UTC+1
Codice ISTAT,042005
Cod. catastale,A769
Targa,AN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 109 GG[3]"
Nome abitanti,belvederesi
Patrono,san Pietro
Giorno festivo,29 giugno
Cartografia,Cartografia
Belvedere Ostrense,Belvedere Ostrense
Belvedere Ostrense – MappaPosizione del comune di Belvedere Ostrense nella provincia di Ancona,Belvedere Ostrense – MappaPosizione del comune di Belvedere Ostrense nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
