Offagna comune,Offagna comune.1
,
Offagna – Veduta,Offagna – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Marche
Provincia,Ancona
Amministrazione,Amministrazione
Sindaco,Ezio Capitani (lista civica) dal 12-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,43°31′38.16″N 13°26′29.4″E
Altitudine,306 m s.l.m.
Superficie,"10,63 km²"
Abitanti,2 119[1] (30-11-2025)
Densità,"199,34 ab./km²"
Comuni confinanti,"Ancona, Osimo, Polverigi"
Altre informazioni,Altre informazioni
Cod. postale,60020
Prefisso,071
Fuso orario,UTC+1
Codice ISTAT,042033
Cod. catastale,G003
Targa,AN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 198 GG[3]"
Nome abitanti,offagnesi
Patrono,san Bernardino da Siena
Giorno festivo,20 maggio
Cartografia,Cartografia
Offagna,Offagna
Offagna – MappaPosizione del comune di Offagna nella provincia di Ancona,Offagna – MappaPosizione del comune di Offagna nella provincia di Ancona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
