Casarsa della Delizia comune,Casarsa della Delizia comune.1
(IT) Casarsa della Delizia (FUR) Cjasarse[1],(IT) Casarsa della Delizia (FUR) Cjasarse[1]
,
Casarsa della Delizia – VedutaChiesa di Santa Maria del Rosario e Santa Croce,Casarsa della Delizia – VedutaChiesa di Santa Maria del Rosario e Santa Croce
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Pordenone
Amministrazione,Amministrazione
Sindaco,Claudio Colussi (centro-destra) dal 13-6-2022
Territorio,Territorio
Coordinate,45°57′N 12°51′E
Altitudine,44 m s.l.m.
Superficie,"20,47 km²"
Abitanti,8 320[2] (30-11-2025)
Densità,"406,45 ab./km²"
Frazioni,"Boscat, San Floreano, San Giovanni, Versuta, Villa Sile"
Comuni confinanti,"Fiume Veneto, San Vito al Tagliamento, Valvasone Arzene, Zoppola"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33072
Prefisso,0434
Fuso orario,UTC+1
Codice ISTAT,093010
Cod. catastale,B940
Targa,PN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 495 GG[4]"
Nome abitanti,casarsesi
Patrono,Beata Vergine del Rosario
Giorno festivo,7 ottobre
Cartografia,Cartografia
Casarsa della Delizia,Casarsa della Delizia
Casarsa della Delizia – MappaPosizione del comune di Casarsa della Delizia nella ex provincia di Pordenone,Casarsa della Delizia – MappaPosizione del comune di Casarsa della Delizia nella ex provincia di Pordenone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
