Porcia comune,Porcia comune.1
,
Porcia – Veduta,Porcia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Pordenone
Amministrazione,Amministrazione
Sindaco,Marco Sartini (centro-destra) dal 27-5-2019
Territorio,Territorio
Coordinate,45°58′N 12°37′E
Altitudine,29 m s.l.m.
Superficie,"29,53 km²"
Abitanti,14 946[1] (30-11-2025)
Densità,"506,13 ab./km²"
Frazioni,"Palse, Pieve, Rondover, Roraipiccolo, Sant'Antonio, Talponedo[2]"
Comuni confinanti,"Brugnera, Fontanafredda, Pordenone, Prata di Pordenone, Roveredo in Piano, Pasiano di Pordenone"
Altre informazioni,Altre informazioni
Cod. postale,33080
Prefisso,0434
Fuso orario,UTC+1
Codice ISTAT,093032
Cod. catastale,G886
Targa,PN
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 468 GG[4]"
Nome abitanti,purliliesi[5]
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Porcia,Porcia
Porcia – MappaPosizione del comune di Porcia nella ex provincia di Pordenone,Porcia – MappaPosizione del comune di Porcia nella ex provincia di Pordenone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
