Cavasso Nuovo comune,Cavasso Nuovo comune.1
(IT) Cavasso Nuovo (FUR) Cjavàs[1],(IT) Cavasso Nuovo (FUR) Cjavàs[1]
,
Cavasso Nuovo – Veduta,Cavasso Nuovo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Pordenone
Amministrazione,Amministrazione
Sindaco,Michele Bier (lista civica Insieme siAmo Cavasso e Orgnese) dal 10-6-2024
Territorio,Territorio
Coordinate,46°12′N 12°46′E
Altitudine,285 m s.l.m.
Superficie,"10,6 km²"
Abitanti,1 466[2] (30-11-2025)
Densità,"138,3 ab./km²"
Frazioni,Orgnese[3]
Comuni confinanti,"Arba, Fanna, Frisanco, Meduno, Sequals"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33092
Prefisso,0427
Fuso orario,UTC+1
Codice ISTAT,093012
Cod. catastale,C385
Targa,PN
Cl. sismica,zona 1 (sismicità alta)[4]
Cl. climatica,"zona E, 2 881 GG[5]"
Nome abitanti,cavassini
Patrono,san Remigio
Giorno festivo,1º ottobre
Cartografia,Cartografia
Cavasso Nuovo,Cavasso Nuovo
Cavasso Nuovo – MappaPosizione del comune di Cavasso Nuovo nella ex provincia di Pordenone,Cavasso Nuovo – MappaPosizione del comune di Cavasso Nuovo nella ex provincia di Pordenone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
