Vajont comune,Vajont comune.1
,
Vajont – VedutaPanorama di Vajont dall'alto,Vajont – VedutaPanorama di Vajont dall'alto
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Pordenone
Amministrazione,Amministrazione
Sindaco,Virgilio Barzan (lista civica) dal 12-3-2022
Data di istituzione,10 luglio 1971
Territorio,Territorio
Coordinate,46°08′49.56″N 12°41′46.32″E
Altitudine,282 m s.l.m.
Superficie,"1,59 km²"
Abitanti,1 595[1] (30-11-2025)
Densità,"1 003,14 ab./km²"
Comuni confinanti,"Maniago, Montereale Valcellina[2]"
Altre informazioni,Altre informazioni
Cod. postale,33080
Prefisso,0427
Fuso orario,UTC+1
Codice ISTAT,093052
Cod. catastale,M265
Targa,PN
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 857 GG[4]"
Nome abitanti,vajontini o vajontesi
Patrono,Esaltazione della Santa Croce
Giorno festivo,14 settembre
Cartografia,Cartografia
Vajont,Vajont
Vajont – MappaPosizione del comune di Vajont nella ex provincia di Pordenone,Vajont – MappaPosizione del comune di Vajont nella ex provincia di Pordenone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
