Montereale Valcellina comune,Montereale Valcellina comune.1
(IT) Montereale Valcellina (FUR) Montreâl[1],(IT) Montereale Valcellina (FUR) Montreâl[1]
,
Montereale Valcellina – Veduta,Montereale Valcellina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Pordenone
Amministrazione,Amministrazione
Sindaco,Igor Alzetta (liste civiche - centro destra) dal 1-6-2015
Territorio,Territorio
Coordinate,46°10′N 12°40′E
Altitudine,317 m s.l.m.
Superficie,"67,88 km²"
Abitanti,4 192[2] (30-11-2025)
Densità,"61,76 ab./km²"
Frazioni,"Grizzo, Malnisio, San Leonardo Località[3]: Borgo Alzetta, Cao Malnisio, Castelu, San Rocco"
Comuni confinanti,"Andreis, Aviano, Barcis, Maniago, San Quirino, Vajont"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33086
Prefisso,0427
Fuso orario,UTC+1
Codice ISTAT,093027
Cod. catastale,F596
Targa,PN
Cl. sismica,zona 1 (sismicità alta)[4]
Cl. climatica,"zona E, 2 911 GG[5]"
Nome abitanti,monterealini
Patrono,Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Montereale Valcellina,Montereale Valcellina
Montereale Valcellina – MappaPosizione del comune di Montereale Valcellina nella ex provincia di Pordenone,Montereale Valcellina – MappaPosizione del comune di Montereale Valcellina nella ex provincia di Pordenone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
