San Quirino comune,San Quirino comune.1
(IT) San Quirino (FUR) San Quarin [1],(IT) San Quirino (FUR) San Quarin [1]
,
San Quirino – Veduta,San Quirino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Pordenone
Amministrazione,Amministrazione
Sindaco,Guido Scapolan (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,46°02′02.8″N 12°40′42.46″E
Altitudine,116 m s.l.m.
Superficie,"51,76 km²"
Abitanti,4 338[2] (30-11-2025)
Densità,"83,81 ab./km²"
Frazioni,"San Foca, Sedrano Località: Villotte"
Comuni confinanti,"Aviano, Cordenons, Maniago, Montereale Valcellina, Pordenone, Roveredo in Piano, Vivaro"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33080
Prefisso,0434
Fuso orario,UTC+1
Codice ISTAT,093040
Cod. catastale,I136
Targa,PN
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 437 GG[4]"
Nome abitanti,sanquirinesi
Patrono,san Quirino di Siscia
Giorno festivo,4 giugno
Cartografia,Cartografia
San Quirino,San Quirino
San Quirino – MappaPosizione del comune di San Quirino nella ex provincia di Pordenone,San Quirino – MappaPosizione del comune di San Quirino nella ex provincia di Pordenone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
