Azzano Decimo comune,Azzano Decimo comune.1
,
"Azzano Decimo – VedutaPiazza Libertà, sulla destra il campanile del duomo e sulla sinistra il municipio","Azzano Decimo – VedutaPiazza Libertà, sulla destra il campanile del duomo e sulla sinistra il municipio"
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Pordenone
Amministrazione,Amministrazione
Sindaco,Massimo Piccini (destra) dal 26-6-2022
Territorio,Territorio
Coordinate,45°53′N 12°43′E
Altitudine,14 m s.l.m.
Superficie,"51,34 km²"
Abitanti,15 787[1] (30-11-2025)
Densità,"307,5 ab./km²"
Frazioni,"Corva, Fagnigola, Tiezzo Località:[2] Cesena, Le Fratte, Cinque Strade"
Comuni confinanti,"Chions, Fiume Veneto, Pasiano di Pordenone, Pordenone, Pravisdomini"
Altre informazioni,Altre informazioni
Lingue,"italiano, lingua veneta"
Cod. postale,33082
Prefisso,0434
Fuso orario,UTC+1
Codice ISTAT,093005
Cod. catastale,A530
Targa,PN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 552 GG[4]"
Nome abitanti,azzanesi
Patrono,"san Pietro apostolo, Madonna della Salute"
Giorno festivo,"29 giugno, 21 novembre"
PIL procapite,(nominale) 21194
Cartografia,Cartografia
Azzano Decimo,Azzano Decimo
Azzano Decimo – MappaPosizione del comune di Azzano Decimo nella ex provincia di Pordenone,Azzano Decimo – MappaPosizione del comune di Azzano Decimo nella ex provincia di Pordenone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
