Tramonti di Sopra comune,Tramonti di Sopra comune.1
(IT) Tramonti di Sopra (FUR) Tramonç Disore [1],(IT) Tramonti di Sopra (FUR) Tramonç Disore [1]
,
Tramonti di Sopra – VedutaLago di Tramonti,Tramonti di Sopra – VedutaLago di Tramonti
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Pordenone
Amministrazione,Amministrazione
Sindaco,Patrizia Del Zotto (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,46°19′N 12°48′E
Altitudine,420 m s.l.m.
Superficie,"125,15 km²"
Abitanti,274[2] (30-11-2025)
Densità,"2,19 ab./km²"
Frazioni,"Chievolis, Inglagna, Redona"
Comuni confinanti,"Claut, Forni di Sotto (UD), Frisanco, Meduno, Socchieve (UD), Tramonti di Sotto"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33090
Prefisso,0427
Fuso orario,UTC+1
Codice ISTAT,093045
Cod. catastale,L324
Targa,PN
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona F, 3 149 GG[4]"
Nome abitanti,tramontini
Patrono,san Floriano
Giorno festivo,4 maggio
Cartografia,Cartografia
Tramonti di Sopra,Tramonti di Sopra
Tramonti di Sopra – MappaPosizione del comune di Tramonti di Sopra nella ex provincia di Pordenone,Tramonti di Sopra – MappaPosizione del comune di Tramonti di Sopra nella ex provincia di Pordenone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
