Castelnovo del Friuli comune,Castelnovo del Friuli comune.1
(IT) Castelnovo del Friuli (FUR) }} [1],(IT) Castelnovo del Friuli (FUR) }} [1]
,
Castelnovo del Friuli – VedutaLa chiesa di San Nicolò Vescovo vista dalla salita al castello,Castelnovo del Friuli – VedutaLa chiesa di San Nicolò Vescovo vista dalla salita al castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Pordenone
Amministrazione,Amministrazione
Sindaco,Juri Del Toso (lista civica Viviamo Castelnovo) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,46°12′00.71″N 12°54′12.68″E
Altitudine,234 m s.l.m.
Superficie,"22,48 km²"
Abitanti,802[2] (30-11-2025)
Densità,"35,68 ab./km²"
Frazioni,vedi elenco
Comuni confinanti,"Clauzetto, Pinzano al Tagliamento, Tramonti di Sotto, Travesio, Vito d'Asio"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33090
Prefisso,0427
Fuso orario,UTC+1
Codice ISTAT,093011
Cod. catastale,C217
Targa,PN
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona E, 2 818 GG[4]"
Nome abitanti,castellani
Patrono,san Nicolò
Giorno festivo,6 dicembre
Cartografia,Cartografia
Castelnovo del Friuli,Castelnovo del Friuli
Castelnovo del Friuli – MappaPosizione del comune di Castelnovo del Friuli nella ex provincia di Pordenone,Castelnovo del Friuli – MappaPosizione del comune di Castelnovo del Friuli nella ex provincia di Pordenone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
