Prata di Pordenone comune,Prata di Pordenone comune.1
,
Prata di Pordenone – VedutaIl municipio e la chiesa di Santa Lucia,Prata di Pordenone – VedutaIl municipio e la chiesa di Santa Lucia
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Pordenone
Amministrazione,Amministrazione
Sindaco,Katia Cescon (Lega per Salvini Premier) dal 13-6-2022
Territorio,Territorio
Coordinate,45°53′40″N 12°35′19″E
Altitudine,18 m s.l.m.
Superficie,"22,96 km²"
Abitanti,8 355[1] (30-11-2025)
Densità,"363,89 ab./km²"
Frazioni,"Ghirano, Prata di Sopra, Prata di Sotto (sede comunale), Puja, Villanova Località: le Monde, Borgo Passo, Peressine[2]"
Comuni confinanti,"Brugnera, Mansuè (TV), Pasiano di Pordenone, Porcia, Pordenone, Portobuffolé (TV)"
Altre informazioni,Altre informazioni
Lingue,Italiano
Cod. postale,33080
Prefisso,0434
Fuso orario,UTC+1
Codice ISTAT,093034
Cod. catastale,G994
Targa,PN
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 449 GG[4]"
Nome abitanti,pratensi
Patrono,santa Lucia
Giorno festivo,13 dicembre
Cartografia,Cartografia
Prata di Pordenone,Prata di Pordenone
Prata di Pordenone – MappaPosizione del comune di Prata di Pordenone nell'ex provincia di Pordenone,Prata di Pordenone – MappaPosizione del comune di Prata di Pordenone nell'ex provincia di Pordenone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
