Chions comune,Chions comune.1
,
Chions – VedutaChiesa di Chions,Chions – VedutaChiesa di Chions
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Pordenone
Amministrazione,Amministrazione
Sindaco,Laura Doro (Lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°51′N 12°43′E
Altitudine,16 m s.l.m.
Superficie,"33,45 km²"
Abitanti,4 999[1] (30-11-2025)
Densità,"149,45 ab./km²"
Frazioni,"Basedo, Chions, Taiedo, Torrate[2], Villotta (sede comunale)"
Comuni confinanti,"Azzano Decimo, Cinto Caomaggiore (VE), Fiume Veneto, Pramaggiore (VE), Pravisdomini, San Vito al Tagliamento, Sesto al Reghena"
Altre informazioni,Altre informazioni
Cod. postale,33083
Prefisso,0434
Fuso orario,UTC+1
Codice ISTAT,093013
Cod. catastale,C640
Targa,PN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 665 GG[4]"
Nome abitanti,chionsesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Chions,Chions
Chions – MappaPosizione del comune di Chions nella ex provincia di Pordenone,Chions – MappaPosizione del comune di Chions nella ex provincia di Pordenone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
