Pasiano di Pordenone comune,Pasiano di Pordenone comune.1
,
Pasiano di Pordenone – Veduta,Pasiano di Pordenone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Pordenone
Amministrazione,Amministrazione
Sindaco,Marta Amadio (centro-destra) dal 10-6-2024
Territorio,Territorio
Coordinate,45°52′07″N 12°38′39.98″E
Altitudine,13 m s.l.m.
Superficie,"45,6 km²"
Abitanti,7 907[1] (30-11-2025)
Densità,"173,4 ab./km²"
Frazioni,"Azzanello, Cecchini, Rivarotta, Sant'Andrea e Visinale[2]"
Sottodivisioni ulteriori,Pozzo
Comuni confinanti,"Azzano Decimo, Gorgo al Monticano (TV), Mansuè (TV), Meduna di Livenza (TV), Porcia, Pordenone, Prata di Pordenone, Pravisdomini"
Altre informazioni,Altre informazioni
Cod. postale,33087
Prefisso,0434
Fuso orario,UTC+1
Codice ISTAT,093029
Cod. catastale,G353
Targa,PN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 551 GG[4]"
Nome abitanti,pasianesi
Patrono,Conversione di San Paolo apostolo
Giorno festivo,25 gennaio
Cartografia,Cartografia
Pasiano di Pordenone,Pasiano di Pordenone
Pasiano di Pordenone – MappaPosizione del comune di Pasiano di Pordenone in provincia di Pordenone,Pasiano di Pordenone – MappaPosizione del comune di Pasiano di Pordenone in provincia di Pordenone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
