Sesto al Reghena comune,Sesto al Reghena comune.1
(IT) Sesto al Reghena (FUR) Siest[1],(IT) Sesto al Reghena (FUR) Siest[1]
,
Sesto al Reghena – VedutaIngresso all'abbazia di Santa Maria in Silvis,Sesto al Reghena – VedutaIngresso all'abbazia di Santa Maria in Silvis
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Pordenone
Amministrazione,Amministrazione
Sindaco,Zaida Franceschetti (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°51′N 12°49′E
Altitudine,13 m s.l.m.
Superficie,"40,68 km²"
Abitanti,6 293[2] (30-11-2025)
Densità,"154,7 ab./km²"
Frazioni,"Bagnarola, Marignana, Ramuscello Località: Borgo di Sotto, Borgo Siega, Braidacurti, Banduzzo, Casette, Fraticelle, La Platina, Levada, Madonna di Campagna, Mure, Melmose, Mielma, Piramidi, Ramuscello Vecchio, Ramuscellutto, Santa Sabina, Stalis, Stazione, Venchiaredo, Versiola, Viali, Vissignano[3]"
Comuni confinanti,"Chions, Cinto Caomaggiore (VE), Cordovado, Gruaro (VE), Morsano al Tagliamento, San Vito al Tagliamento"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano, veneto"
Cod. postale,33079
Prefisso,0434
Fuso orario,UTC+1
Codice ISTAT,093043
Cod. catastale,I686
Targa,PN
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 661 GG[5]"
Nome abitanti,sestensi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Sesto al Reghena,Sesto al Reghena
Sesto al Reghena – MappaPosizione del comune di Sesto al Reghena nella ex provincia di Pordenone,Sesto al Reghena – MappaPosizione del comune di Sesto al Reghena nella ex provincia di Pordenone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
