Roveredo in Piano comune,Roveredo in Piano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Pordenone
Amministrazione,Amministrazione
Sindaco,Paolo Nadal (centro-destra) dal 27-5-2019
Territorio,Territorio
Coordinate,46°01′N 12°37′E
Altitudine,99 m s.l.m.
Superficie,"15,86 km²"
Abitanti,5 758[1] (30-11-2025)
Densità,"363,05 ab./km²"
Comuni confinanti,"Aviano, Fontanafredda, Porcia, Pordenone, San Quirino"
Altre informazioni,Altre informazioni
Cod. postale,33080
Prefisso,0434
Fuso orario,UTC+1
Codice ISTAT,093036
Cod. catastale,H609
Targa,PN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 403 GG[3]"
Nome abitanti,roveredani
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Roveredo in Piano,Roveredo in Piano
Roveredo in Piano – MappaPosizione del comune di Roveredo in Piano nella ex provincia di Pordenone,Roveredo in Piano – MappaPosizione del comune di Roveredo in Piano nella ex provincia di Pordenone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
