Cimolais comune,Cimolais comune.1
,
Cimolais – VedutaPanorama di Cimolais,Cimolais – VedutaPanorama di Cimolais
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Pordenone
Amministrazione,Amministrazione
Sindaco,Davide Protti (lista civica Thimolei Il paese che vorrei) dal 12-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,46°17′N 12°26′E
Altitudine,652 m s.l.m.
Superficie,"100,86 km²"
Abitanti,344[1] (30-11-2025)
Densità,"3,41 ab./km²"
Comuni confinanti,"Claut, Domegge di Cadore (BL), Erto e Casso, Forni di Sopra, Perarolo di Cadore (BL), Pieve di Cadore (BL)"
Altre informazioni,Altre informazioni
Cod. postale,33080
Prefisso,0427
Fuso orario,UTC+1
Codice ISTAT,093014
Cod. catastale,C699
Targa,PN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona F, 3 639 GG[3]"
Nome abitanti,cimoliani
Patrono,Beata Vergine Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Cimolais,Cimolais
Cimolais – MappaPosizione del comune nella provincia di Pordenone,Cimolais – MappaPosizione del comune nella provincia di Pordenone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
