Valvasone Arzene comune,Valvasone Arzene comune.1
(IT) Valvasone Arzene (FUR) Voleson Darzin [1],(IT) Valvasone Arzene (FUR) Voleson Darzin [1]
,
Valvasone Arzene – VedutaPiazza Libertà col Municipio,Valvasone Arzene – VedutaPiazza Libertà col Municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Pordenone
Amministrazione,Amministrazione
Capoluogo,Valvasone
Sindaco,Fulvio Avoledo (lista civica) dal 4-4-2023
Data di istituzione,1º gennaio 2015
Territorio,Territorio
Coordinate del capoluogo,46°00′00″N 12°52′00″E
Altitudine,59 m s.l.m.
Superficie,"29,68[2] km²"
Abitanti,3 955[3] (30-11-2025)
Densità,"133,25 ab./km²"
Frazioni,vedi lista
Comuni confinanti,"Casarsa della Delizia, Codroipo, San Giorgio della Richinvelda, San Martino al Tagliamento, San Vito al Tagliamento, Sedegliano, Zoppola"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33098
Prefisso,0434
Fuso orario,UTC+1
Codice ISTAT,093053
Cod. catastale,M346
Targa,PN
Cl. sismica,zona 2 (sismicità media)[4]
Nome abitanti,valvasonesi e arzenesi
Patrono,santi Pietro e Paolo (Valvasone) san Michele Arcangelo (Arzene)
Giorno festivo,29 giugno (Valvasone) 29 settembre (Arzene)
Cartografia,Cartografia
Valvasone,Valvasone
Valvasone Arzene – MappaPosizione del comune di Valvasone Arzene nella ex provincia di Pordenone,Valvasone Arzene – MappaPosizione del comune di Valvasone Arzene nella ex provincia di Pordenone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
