Fiume Veneto comune,Fiume Veneto comune.1
,
Fiume Veneto – VedutaChiesa parrocchiale di San Nicolò,Fiume Veneto – VedutaChiesa parrocchiale di San Nicolò
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Pordenone
Amministrazione,Amministrazione
Sindaco,Jessica Canton (liste civiche) dal 30-4-2018
Territorio,Territorio
Coordinate,45°56′N 12°44′E
Altitudine,20 m s.l.m.
Superficie,"35,76 km²"
Abitanti,11 780[1] (30-11-2025)
Densità,"329,42 ab./km²"
Frazioni,"Bannia, Cimpello, Pescincanna, Praturlone[2]"
Comuni confinanti,"Azzano Decimo, Casarsa della Delizia, Chions, Pordenone, San Vito al Tagliamento, Zoppola"
Altre informazioni,Altre informazioni
Cod. postale,33080
Prefisso,0434
Fuso orario,UTC+1
Codice ISTAT,093021
Cod. catastale,D621
Targa,PN
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 452 GG[4]"
Nome abitanti,fiumani
Patrono,san Niccolò
Giorno festivo,6 dicembre
Cartografia,Cartografia
Fiume Veneto,Fiume Veneto
Fiume Veneto – MappaPosizione del comune di Fiume Veneto nell'ex provincia di Pordenone,Fiume Veneto – MappaPosizione del comune di Fiume Veneto nell'ex provincia di Pordenone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
