Arba comune,Arba comune.1
(IT) Arba (FUR) Darbe[1],(IT) Arba (FUR) Darbe[1]
,
Arba – VedutaLa chiesa parrocchiale,Arba – VedutaLa chiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Friuli-Venezia Giulia
Provincia,Pordenone
Amministrazione,Amministrazione
Sindaco,Franco Miracolino Lai (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,46°09′N 12°47′E
Altitudine,210 m s.l.m.
Superficie,"15,31 km²"
Abitanti,1 348[2] (30-11-2025)
Densità,"88,05 ab./km²"
Frazioni,Colle
Comuni confinanti,"Cavasso Nuovo, Fanna, Maniago, Sequals, Spilimbergo, Vivaro"
Altre informazioni,Altre informazioni
Lingue,"italiano, friulano"
Cod. postale,33090
Prefisso,0427
Fuso orario,UTC+1
Codice ISTAT,093002
Cod. catastale,A354
Targa,PN
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 736 GG[4]"
Nome abitanti,arbesi
Patrono,san Michele
Giorno festivo,29 settembre
Cartografia,Cartografia
Arba,Arba
Arba – MappaPosizione del comune di Arba nella ex provincia di Pordenone,Arba – MappaPosizione del comune di Arba nella ex provincia di Pordenone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
