Caccuri comune,Caccuri comune.1
,
Caccuri – VedutaPanorama di Caccuri,Caccuri – VedutaPanorama di Caccuri
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Crotone
Amministrazione,Amministrazione
Sindaco,Luigi Quintieri (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,39°14′N 16°47′E
Altitudine,646 m s.l.m.
Superficie,"61,38 km²"
Abitanti,1 495[1] (30-11-2025)
Densità,"24,36 ab./km²"
Frazioni,"Santa Rania, Acquafredda[2]"
Comuni confinanti,"Cerenzia, Castelsilano, Cotronei, Roccabernarda, San Giovanni in Fiore (CS), Santa Severina"
Altre informazioni,Altre informazioni
Cod. postale,88833
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,101002
Cod. catastale,B319
Targa,KR
Cl. sismica,zona 2 (sismicità media)[3]
Nome abitanti,caccuresi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Caccuri,Caccuri
Caccuri – MappaPosizione del comune di Caccuri nella provincia di Crotone,Caccuri – MappaPosizione del comune di Caccuri nella provincia di Crotone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
