San Mauro Marchesato comune,San Mauro Marchesato comune.1
,
San Mauro Marchesato – Veduta,San Mauro Marchesato – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Crotone
Amministrazione,Amministrazione
Sindaco,Levino Rajani[1] (Forza Italia) dal 10-6-2024
Territorio,Territorio
Coordinate,39°06′N 16°55′E
Altitudine,298 m s.l.m.
Superficie,"41,91 km²"
Abitanti,1 867[2] (30-11-2025)
Densità,"44,55 ab./km²"
Frazioni,Ponte Tre Luci
Comuni confinanti,"Cutro, Roccabernarda, Santa Severina, Scandale"
Altre informazioni,Altre informazioni
Cod. postale,88831
Prefisso,0962
Fuso orario,UTC+1
Codice ISTAT,101020
Cod. catastale,I026
Targa,KR
Cl. sismica,zona 2 (sismicità media)[3]
Nome abitanti,sanmauresi
Patrono,Maria Santissima del Soccorso san Giovanni Battista
Giorno festivo,"1ª domenica di giugno, 24 giugno"
Cartografia,Cartografia
San Mauro Marchesato,San Mauro Marchesato
San Mauro Marchesato – MappaPosizione del comune di San Mauro Marchesato nella provincia di Crotone,San Mauro Marchesato – MappaPosizione del comune di San Mauro Marchesato nella provincia di Crotone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
