Scandale comune,Scandale comune.1
,
Scandale – Veduta,Scandale – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Crotone
Amministrazione,Amministrazione
Sindaco,Antonio Barberio (lista civica di centro-sinistra Adesso! Scandale) dal 10-6-2018
Territorio,Territorio
Coordinate,39°07′N 16°58′E
Altitudine,350 m s.l.m.
Superficie,"54,26 km²"
Abitanti,2 858[1] (30-11-2025)
Densità,"52,67 ab./km²"
Frazioni,Corazzo
Comuni confinanti,"Cutro, Crotone, Rocca di Neto, San Mauro Marchesato, Santa Severina"
Altre informazioni,Altre informazioni
Cod. postale,88831
Prefisso,0962
Fuso orario,UTC+1
Codice ISTAT,101024
Cod. catastale,I494
Targa,KR
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,scandalesi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Scandale,Scandale
Scandale – MappaPosizione del comune di Scandale nella provincia di Crotone,Scandale – MappaPosizione del comune di Scandale nella provincia di Crotone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
