Cirò comune,Cirò comune.1
,
Cirò – Veduta,Cirò – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Crotone
Amministrazione,Amministrazione
Sindaco,Mario Sculco (lista civica Progetto Cirò) dal 12-6-2022
Territorio,Territorio
Coordinate,39°23′N 17°04′E
Altitudine,351 m s.l.m.
Superficie,"71,05 km²"
Abitanti,2 326[1] (30-11-2025)
Densità,"32,74 ab./km²"
Frazioni,"La Cappella, L'Attiva, Santa Venere"
Comuni confinanti,"Carfizzi, Cirò Marina, Crucoli, Melissa, Umbriatico"
Altre informazioni,Altre informazioni
Cod. postale,88813
Prefisso,0962
Fuso orario,UTC+1
Codice ISTAT,101007
Cod. catastale,C725
Targa,KR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 571 GG[3]"
Nome abitanti,cirotani
Patrono,san Francesco di Paola e san Nicodemo Abate
Giorno festivo,4 agosto
Cartografia,Cartografia
Cirò,Cirò
Cirò – MappaPosizione del comune di Cirò nella provincia di Crotone,Cirò – MappaPosizione del comune di Cirò nella provincia di Crotone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
