Castelsilano comune,Castelsilano comune.1
,
Castelsilano – Veduta,Castelsilano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Crotone
Amministrazione,Amministrazione
Sindaco,Francesco Durante[1] (lista civica Liberi) dal 25-5-2014 (2º mandato dal 26-5-2019)
Territorio,Territorio
Coordinate,39°16′N 16°46′E
Altitudine,900 m s.l.m.
Superficie,"40,06 km²"
Abitanti,900[2] (30-11-2025)
Densità,"22,47 ab./km²"
Frazioni,Gradia-San Lorenzo
Comuni confinanti,"Belvedere di Spinello, Caccuri, Casabona, Cerenzia, San Giovanni in Fiore (CS), Santa Severina, Savelli, Verzino"
Altre informazioni,Altre informazioni
Cod. postale,88834
Prefisso,0984
Fuso orario,UTC+1
Codice ISTAT,101005
Cod. catastale,B968
Targa,KR
Cl. sismica,zona 2 (sismicità media)[3]
Nome abitanti,castelsilanesi
Patrono,san Leonardo di Noblac
Giorno festivo,6 novembre
Cartografia,Cartografia
Castelsilano,Castelsilano
Castelsilano – MappaPosizione del comune di Castelsilano nella provincia di Crotone,Castelsilano – MappaPosizione del comune di Castelsilano nella provincia di Crotone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
