Belvedere di Spinello comune,Belvedere di Spinello comune.1
,
Belvedere di Spinello – VedutaPanorama di Belvedere di Spinello,Belvedere di Spinello – VedutaPanorama di Belvedere di Spinello
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Crotone
Amministrazione,Amministrazione
Sindaco,Antonio Giuseppe Amato (lista civica Demos) dal 10-6-2024
Territorio,Territorio
Coordinate,39°12′24.26″N 16°53′32.39″E
Altitudine,330 m s.l.m.
Superficie,"30,31 km²"
Abitanti,1 874[1] (30-11-2025)
Densità,"61,83 ab./km²"
Frazioni,"Belvedere, Spinello, Poligrone"
Comuni confinanti,"Casabona, Castelsilano, Rocca di Neto, Santa Severina"
Altre informazioni,Altre informazioni
Cod. postale,88824
Prefisso,0962
Fuso orario,UTC+1
Codice ISTAT,101001
Cod. catastale,A772
Targa,KR
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,belvederesi
Patrono,Madonna della Pietà
Giorno festivo,primo martedì di giugno
Cartografia,Cartografia
Belvedere di Spinello,Belvedere di Spinello
Belvedere di Spinello – MappaPosizione del comune di Belvedere di Spinello nella provincia di Crotone,Belvedere di Spinello – MappaPosizione del comune di Belvedere di Spinello nella provincia di Crotone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
