Cirò Marina comune,Cirò Marina comune.1
,
Cirò Marina – VedutaVista su Cirò Marina dal bastione cannone del castello di Cirò,Cirò Marina – VedutaVista su Cirò Marina dal bastione cannone del castello di Cirò
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Crotone
Amministrazione,Amministrazione
Sindaco,Andrea Aprigliano (sindaco f.f) dal 29-12-2025
Data di istituzione,1952
Territorio,Territorio
Coordinate,39°22′N 17°07′E
Altitudine,5 m s.l.m.
Superficie,"41,68 km²"
Abitanti,14 237[1] (30-11-2025)
Densità,"341,58 ab./km²"
Comuni confinanti,"Cirò, Melissa"
Altre informazioni,Altre informazioni
Cod. postale,88811
Prefisso,0962
Fuso orario,UTC+1
Codice ISTAT,101008
Cod. catastale,C726
Targa,KR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona B, 845 GG[3]"
Nome abitanti,"marinoti (o ciròmarinesi oppure ""cirotani"")"
Patrono,san Cataldo
Giorno festivo,10 maggio
Cartografia,Cartografia
Cirò Marina,Cirò Marina
Cirò Marina – MappaPosizione del comune di Cirò Marina nella provincia di Crotone,Cirò Marina – MappaPosizione del comune di Cirò Marina nella provincia di Crotone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
