Casabona comune,Casabona comune.1
,
Casabona – Veduta,Casabona – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Crotone
Amministrazione,Amministrazione
Sindaco,Commissione straordinaria dal 5-11-2024
Territorio,Territorio
Coordinate,39°15′N 16°57′E
Altitudine,287 m s.l.m.
Superficie,"67,67 km²"
Abitanti,2 166[1] (30-11-2025)
Densità,"32,01 ab./km²"
Frazioni,"Montagnapiana, Santa Maria, Simma, Zinga"
Comuni confinanti,"Belvedere di Spinello, Castelsilano, Melissa, Pallagorio, Rocca di Neto, San Nicola dell'Alto, Strongoli, Verzino"
Altre informazioni,Altre informazioni
Cod. postale,88822
Prefisso,0962
Fuso orario,UTC+1
Codice ISTAT,101004
Cod. catastale,B857
Targa,KR
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,casabonesi
Patrono,"San Nicola di Bari, San Francesco da Paola"
Giorno festivo,"6 dicembre, 1ª domenica di giugno"
Cartografia,Cartografia
Casabona,Casabona
Casabona – MappaPosizione del comune di Casabona nella provincia di Crotone,Casabona – MappaPosizione del comune di Casabona nella provincia di Crotone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
