Crotone comune,Crotone comune.1
(dettagli)  (dettagli),(dettagli)  (dettagli)
Crotone – Veduta,Crotone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Crotone
Amministrazione,Amministrazione
Sindaco,Vincenzo Voce (coalizione di liste civiche) dal 7-10-2020
Territorio,Territorio
Coordinate,39°05′N 17°07′E
Altitudine,8 m s.l.m.
Superficie,182 km²
Abitanti,58 165[1] (30-11-2025)
Densità,"319,59 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Cutro, Isola di Capo Rizzuto, Rocca di Neto, Scandale, Strongoli"
Altre informazioni,Altre informazioni
Cod. postale,88900
Prefisso,0962
Fuso orario,UTC+1
Codice ISTAT,101010
Cod. catastale,D122
Targa,KR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona B, 899 GG[3]"
Nome abitanti,crotonesi
Patrono,san Dionigi l'Areopagita Madonna di Capo Colonna
Giorno festivo,9 ottobre (San Dionigi) Terza domenica di Maggio (Madonna di Capo Colonna)
Motto,Sum signum et præsul Dionysius ipse Crotonis[4][N 1]
Cartografia,Cartografia
Crotone,Crotone
Crotone – MappaPosizione del comune di Crotone all'interno dell'omonima provincia,Crotone – MappaPosizione del comune di Crotone all'interno dell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
