Rocca di Neto comune,Rocca di Neto comune.1
,
Rocca di Neto – VedutaPanorama di Rocca di Neto,Rocca di Neto – VedutaPanorama di Rocca di Neto
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Crotone
Amministrazione,Amministrazione
Sindaco,Irene Dattolo (vicesindaco f.f) dal 26-7-2025
Territorio,Territorio
Coordinate,39°11′18″N 17°00′15″E
Altitudine,165 m s.l.m.
Superficie,"44,93 km²"
Abitanti,5 291[1] (30-11-2025)
Densità,"117,76 ab./km²"
Frazioni,"Cupone, Setteporte, Topanello"
Comuni confinanti,"Belvedere di Spinello, Casabona, Crotone, Santa Severina, Scandale, Strongoli"
Altre informazioni,Altre informazioni
Cod. postale,88821
Prefisso,0962
Fuso orario,UTC+1
Codice ISTAT,101019
Cod. catastale,H403
Targa,KR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona A, 1,132 GG[3]"
Nome abitanti,rocchitani
Patrono,san Martino Madonna di Setteporte
Giorno festivo,11 novembre
Cartografia,Cartografia
Rocca di Neto,Rocca di Neto
Rocca di Neto – MappaPosizione del comune di Rocca di Neto nella provincia di Crotone,Rocca di Neto – MappaPosizione del comune di Rocca di Neto nella provincia di Crotone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
