Santa Severina comune,Santa Severina comune.1
,
Santa Severina – Veduta,Santa Severina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Crotone
Amministrazione,Amministrazione
Sindaco,Salvatore Lucio Giordano[1] (lista civica di centro-sinistra Il borgo) dal 31-5-2015 (2º mandato dal 21-9-2020)
Territorio,Territorio
Coordinate,39°09′N 16°55′E
Altitudine,326 m s.l.m.
Superficie,"52,31 km²"
Abitanti,1 828[2] (30-11-2025)
Densità,"34,95 ab./km²"
Frazioni,"Altilia, Armirò, Campodenaro"
Comuni confinanti,"Belvedere di Spinello, Caccuri, Rocca di Neto, Roccabernarda, San Mauro Marchesato, Scandale"
Altre informazioni,Altre informazioni
Cod. postale,88832
Prefisso,0962
Fuso orario,UTC+1
Codice ISTAT,101022
Cod. catastale,I308
Targa,KR
Cl. sismica,zona 2 (sismicità media)[3]
Nome abitanti,santaseverinesi
Patrono,sant'Anastasia
Giorno festivo,29 ottobre
Cartografia,Cartografia
Santa Severina,Santa Severina
Santa Severina – MappaPosizione del comune di Santa Severina nella provincia di Crotone,Santa Severina – MappaPosizione del comune di Santa Severina nella provincia di Crotone
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
